yearmonth,m1,m2,m3,all
2013-02,tensor(0.0203),tensor(-0.6556),tensor(-0.3629),tensor(-0.3072)
2023-02,tensor(-0.2510),tensor(-0.8426),tensor(-0.1887),tensor(-0.3361)
2007-02,tensor(-0.0142),tensor(-0.6300),tensor(-0.5269),tensor(-0.3420)
2005-11,tensor(-0.5824),tensor(-0.0876),tensor(-0.5933),tensor(-0.3712)
2005-02,tensor(-0.8195),tensor(-0.1200),tensor(-1.5825),tensor(-0.3849)
2023-08,tensor(-0.1068),tensor(-0.4217),tensor(-0.8245),tensor(-0.3986)
2011-11,tensor(-0.9628),tensor(-0.8911),tensor(-0.7045),tensor(-0.4162)
2008-11,tensor(-0.9745),tensor(-0.0971),tensor(-0.9036),tensor(-0.5095)
2010-05,tensor(-2.0843),tensor(-0.9810),tensor(0.0480),tensor(-0.5114)
2004-05,tensor(-0.7792),tensor(-0.0777),tensor(-0.8433),tensor(-0.5229)
2011-02,tensor(-0.0776),tensor(-0.0223),tensor(-1.7871),tensor(-0.5303)
2020-05,tensor(-0.1099),tensor(-0.3976),tensor(-1.0981),tensor(-0.5328)
2022-02,tensor(-0.0339),tensor(-0.2499),tensor(-1.5910),tensor(-0.5632)
2001-02,tensor(-1.4933),tensor(-0.4543),tensor(-0.4034),tensor(-0.5991)
2011-08,tensor(-2.0470),tensor(-2.1557),tensor(0.1726),tensor(-0.6108)
2003-05,tensor(-0.8036),tensor(-0.9966),tensor(-0.9546),tensor(-0.7325)
2012-08,tensor(-2.3092),tensor(-0.4940),tensor(-0.0688),tensor(-0.7848)
2008-08,tensor(-0.3487),tensor(-1.7942),tensor(-1.0738),tensor(-0.8913)
2012-11,tensor(-0.1487),tensor(-0.7230),tensor(-2.0084),tensor(-0.9319)
2007-11,tensor(-1.2140),tensor(-0.6563),tensor(-1.2747),tensor(-0.9625)
2001-11,tensor(-1.7754),tensor(-0.9397),tensor(-0.3060),tensor(-1.0141)
2014-08,tensor(-4.5251),tensor(-0.3805),tensor(-0.3708),tensor(-1.0432)
2001-08,tensor(-1.7463),tensor(0.1705),tensor(-9.2301),tensor(-1.2826)
2020-11,tensor(-2.3805),tensor(-2.2979),tensor(-0.8202),tensor(-1.4363)
2020-08,tensor(-7.5732),tensor(-2.7844),tensor(-2.7460),tensor(-3.5585)
